Rank,Title,Author,Year,Genre,Isbn,Copies
1,Cien años de soledad,Gabriel García Márquez,2017,Misterio,9781928374650,50
2,Detective Conan,Gosho Aoyama,1999,Misterio,9783849201745,20
3,El Principito,Antoine de Saint-Exupéry,1995,No Ficción,9781029384756,50
4,Matar a un ruiseñor,Harper Lee,1987,Fantasía,9788473629150,30
5,Crimen y castigo,Fiódor Dostoyevski,2024,Ficción,9782398475612,90
6,Orgullo y prejuicio,Jane Austen,1984,Romance,9787482910349,50
7,La sombra del viento,Carlos Ruiz Zafón,1995,No Ficción,9789384726150,65
8,Rayuela,Julio Cortázar,1987,Ciencia Ficción,9785748392017,80
9,Don Quijote de la Mancha,Miguel de Cervantes,2023,Ciencia Ficción,9781827364510,90
10,La Odisea,Homero,2001,Ciencia Ficción,9783948572014,50
11,Fahrenheit 451,Ray Bradbury,2015,Misterio,9782918374651,25
12,Los juegos del hambre,Suzanne Collins,2002,Ficción,9781203948573,32
13,Harry Potter y la piedra filosofal,J.K. Rowling,2018,Ficción,9789384756109,80
14,El nombre del viento,Patrick Rothfuss,2024,No Ficción,9785738491020,90
15,El código Da Vinci,Dan Brown,1993,Histórico,9783849201742,50
16,La chica del tren,Paula Hawkins,1995,Histórico,9788492017364,65
17,It,Stephen King,1997,Histórico,9782193847560,25
18,Drácula,Bram Stoker,2016,Histórico,9787482910347,90
19,El retrato de Dorian Gray,Oscar Wilde,2007,Histórico,9781837465102,75
20,La carretera,Cormac McCarthy,1980,Ciencia Ficción,9783849201751,30
21,El señor de los anillos,J.R.R. Tolkien,2022,Ficción,9789283746501,80
22,El Hobbit,J.R.R. Tolkien,1981,Ficción,9783948572011,65
23,Las ventajas de ser invisible,Stephen Chbosky,2009,Ciencia Ficción,9787482910345,32
24,El psicoanalista,John Katzenbach,2014,Ciencia Ficción,9784839201740,25
25,La ladrona de libros,Markus Zusak,1996,Romance,9781129384756,75
26,Los pilares de la Tierra,Ken Follett,2013,Histórico,9785748392013,30
27,La historia interminable,Michael Ende,1992,Fantasía,9788473629152,75
28,Un mundo feliz,Aldous Huxley,2018,Fantasía,9781938475610,65
29,Cazadores de sombras,Cassandra Clare,1990,Ficción,9789384726153,80
30,Percy Jackson y el ladrón del rayo,Rick Riordan,2000,Histórico,9783849201749,30
